gene	fraction_samples_mutated	n_samples_mutated
TP53	0.579548918012801	3803
PIK3CA	0.20664431575739103	1356
PTEN	0.13120999695214874	861
APC	0.12587625723864676	826
KRAS	0.1197805547089302	786
ATM	0.08518744285278879	559
PTPRD	0.07939652544955807	521
CREBBP	0.07162450472416947	470
ERBB4	0.07025297165498323	461
RB1	0.06827186833282536	448
MGA	0.06598597988418166	433
PBRM1	0.06339530630905212	416
CTNNB1	0.06278573605608047	412
SMARCA4	0.05897592197500762	387
EGFR	0.05531850045717769	363
STK11	0.023011277049679976	151
AKT3	0.01752514477293508	115
