gene_a	gene_b	n_both	g1_only	g2_only	neither	odds_ratio	p_value	q_value_bh
TP53	RB1	256	3547	192	2567	0.9649469034865145	0.728705581319091	0.739581784025346
TP53	ATM	199	3604	360	2399	0.3679561289924775	1.1808298541428472e-28	1.784365112926969e-27
TP53	KRAS	344	3459	442	2317	0.5213287129515893	1.5898376215077368e-17	8.316073712502007e-17
TP53	EGFR	140	3663	223	2536	0.4346458158117351	2.303488627680995e-14	8.950698667560437e-14
TP53	PIK3CA	502	3301	854	1905	0.3392308199842926	5.313718473326723e-68	3.613328561862172e-66
TP53	AKT3	48	3755	67	2692	0.5136077270107519	0.0005447253073242715	0.0007334915029316923
TP53	PTEN	257	3546	604	2155	0.2585858331185591	2.436649862287988e-71	3.3138438127116636e-69
TP53	ERBB4	222	3581	239	2520	0.6536590723471973	1.263518331477032e-05	1.9527101486463223e-05
TP53	APC	459	3344	367	2392	0.8946260250576901	0.14157310007124752	0.15527372265878758
TP53	CTNNB1	105	3698	307	2452	0.22677985987671828	2.7171792863518706e-43	9.23840957359636e-42
TP53	STK11	49	3754	102	2657	0.3400111776196893	1.8283363834999069e-10	4.6046990399256914e-10
TP53	SMARCA4	185	3618	202	2557	0.6472655972064868	4.135961465328568e-05	6.181217134996541e-05
TP53	PBRM1	115	3688	301	2458	0.25463747018254407	3.6805447627804e-38	1.0011081754762688e-36
TP53	CREBBP	216	3587	254	2505	0.5938768387154839	6.463969570726122e-08	1.2740577704619602e-07
TP53	MGA	166	3637	267	2492	0.4259921180460086	2.5625518381680408e-17	1.290766851817976e-16
TP53	PTPRD	247	3556	274	2485	0.6299571814472096	5.388206641588401e-07	9.642053990210822e-07
RB1	ATM	83	365	476	5638	2.6934154483711295	2.3499257197648206e-12	7.432323206698036e-12
RB1	KRAS	38	410	748	5366	0.66488848310943	0.019154854611910185	0.02285140550192794
RB1	EGFR	51	397	312	5802	2.38892656461926	4.89788690498932e-07	8.881501587713966e-07
RB1	PIK3CA	119	329	1237	4877	1.4260479196408606	0.0020036196489275713	0.002546656750038782
RB1	AKT3	28	420	87	6027	4.618390804597701	1.7409965870291368e-09	4.0131446751858066e-09
RB1	PTEN	113	335	748	5366	2.419818022188523	7.570320066704509e-13	2.4513417358852697e-12
RB1	ERBB4	64	384	397	5717	2.400083963056255	2.4366755347507116e-08	5.09715424628224e-08
RB1	APC	85	363	741	5373	1.6978954060293774	6.200836153383218e-05	8.971422519788484e-05
RB1	CTNNB1	52	396	360	5754	2.0988215488215487	1.0856876712792508e-05	1.7169014336509083e-05
RB1	STK11	13	435	138	5976	1.294152923538231	0.41140564901776966	0.430393602049359
RB1	SMARCA4	53	395	334	5780	2.3219889335253545	6.501172949345987e-07	1.1335378475782747e-06
RB1	PBRM1	51	397	365	5749	2.0233877367930715	3.0628821750938894e-05	4.6803592787951564e-05
RB1	CREBBP	81	367	389	5725	3.2482155740633076	8.466967679145339e-16	3.3867870716581356e-15
RB1	MGA	69	379	364	5750	2.8759169590304157	8.579828055181784e-12	2.4309512823015054e-11
RB1	PTPRD	87	361	434	5680	3.1540651288663084	4.519179319303485e-16	1.8624496588644665e-15
ATM	KRAS	104	455	682	5321	1.7833263510682866	2.2137039152670348e-06	3.763296655953959e-06
ATM	EGFR	58	501	305	5698	2.162782631458395	1.607207908447301e-06	2.7668389309978856e-06
ATM	PIK3CA	168	391	1188	4815	1.7414554754708207	3.986924206948585e-08	7.97384841389717e-08
ATM	AKT3	47	512	68	5935	8.011977251838236	1.660913840598452e-21	1.1888646437967865e-20
ATM	PTEN	134	425	727	5276	2.2881592361841574	2.502983346779963e-13	8.510143379051874e-13
ATM	ERBB4	105	454	356	5647	3.6686073850418253	1.31661404037248e-22	1.053291232297984e-21
ATM	APC	156	403	670	5333	3.0811747713047666	1.7014142452879877e-24	1.7799410566089717e-23
